run_number,run_date,env,model,gamma,theta,epsilon,alpha,number_iteration,max_step,actual_run,time,score
9f405439-86cf-40c8-9f4e-7a2a80ed6394,2024-07-24_19-58-45,MontyHall,monte_carlo_fv_on_policy,0.99,0.1,None,None,5,100000,1,2,0
9f405439-86cf-40c8-9f4e-7a2a80ed6394,2024-07-24_19-58-45,MontyHall,monte_carlo_fv_on_policy,0.99,0.1,None,None,5,100000,2,1,0
9f405439-86cf-40c8-9f4e-7a2a80ed6394,2024-07-24_19-58-45,MontyHall,monte_carlo_fv_on_policy,0.99,0.1,None,None,5,100000,3,1,1
9f405439-86cf-40c8-9f4e-7a2a80ed6394,2024-07-24_19-58-45,MontyHall,monte_carlo_fv_on_policy,0.99,0.1,None,None,5,100000,4,1,1
9f405439-86cf-40c8-9f4e-7a2a80ed6394,2024-07-24_19-58-45,MontyHall,monte_carlo_off_policy,0.99,None,0.1,None,5,100000,0,2,0
9f405439-86cf-40c8-9f4e-7a2a80ed6394,2024-07-24_19-58-45,MontyHall,monte_carlo_off_policy,0.99,None,0.1,None,5,100000,1,2,1
9f405439-86cf-40c8-9f4e-7a2a80ed6394,2024-07-24_19-58-45,MontyHall,monte_carlo_off_policy,0.99,None,0.1,None,5,100000,2,2,0
9f405439-86cf-40c8-9f4e-7a2a80ed6394,2024-07-24_19-58-45,MontyHall,monte_carlo_off_policy,0.99,None,0.1,None,5,100000,3,2,0
9f405439-86cf-40c8-9f4e-7a2a80ed6394,2024-07-24_19-58-45,MontyHall,monte_carlo_off_policy,0.99,None,0.1,None,5,100000,4,1,0
9f405439-86cf-40c8-9f4e-7a2a80ed6394,2024-07-24_19-58-45,MontyHall,Q_learning_off_policy,0.99,None,0.1,0.1,5,100000,0,0,0
9f405439-86cf-40c8-9f4e-7a2a80ed6394,2024-07-24_19-58-45,MontyHall,Q_learning_off_policy,0.99,None,0.1,0.1,5,100000,1,0,0
9f405439-86cf-40c8-9f4e-7a2a80ed6394,2024-07-24_19-58-45,MontyHall,Q_learning_off_policy,0.99,None,0.1,0.1,5,100000,2,0,1
9f405439-86cf-40c8-9f4e-7a2a80ed6394,2024-07-24_19-58-45,MontyHall,Q_learning_off_policy,0.99,None,0.1,0.1,5,100000,3,0,1
9f405439-86cf-40c8-9f4e-7a2a80ed6394,2024-07-24_19-58-45,MontyHall,Q_learning_off_policy,0.99,None,0.1,0.1,5,100000,4,0,0
9f405439-86cf-40c8-9f4e-7a2a80ed6394,2024-07-24_19-58-45,MontyHall,sarsa,0.99,None,0.1,0.1,5,100000,0,0,1
